id,name,category,address,phones,websites,emails,socials,geometry
6d64ff8a-bc42-49a9-a0e3-d34cce3f63fc,Precision Wildlife Art,taxidermist,2845 Avenida de Landa,+17759976641,http://precisionwildlifeart.com,,https://www.facebook.com/1758363351117053,POINT (-119.8983034 39.5449248)
ad3da3b6-6e3f-4426-ab07-75d7ecceb691,Sacks Crawfish,caterer,2745 Robb Dr,+17752256932,http://www.sackscrawfish.com/,,https://www.facebook.com/523931517787798,POINT (-119.89477 39.54866)
7e0f9808-39d8-4a65-8069-0285a884953c,Rollan D. Melton Ellementary School,elementary_school,6575 Archimedes Ln,+17757467440,http://www.washoeschools.net/melton,,https://www.facebook.com/842652089119894,POINT (-119.8934904 39.545731)
ea1a5651-6571-448c-ad7a-8931d49cfb3c,Tahoe Landscape Architecture,landscape_architect,5920 Roxbury Ct,7752738550,https://www.tahoelandscapearchitect.com/,,,POINT (-119.8845948 39.5443436)
97fe7d22-cdad-4f4d-9a4e-48f8de5e3b14,Terrace Sports Complex,park,2499 Robb Dr,+17753342270,http://www.renoyouthsports.org/page/show/151440-terrace-fields,,https://www.facebook.com/194251597276277,POINT (-119.8918241 39.5443712)
27ebf047-f909-48e8-ab9c-311fd2fdd81d,Reno American Little League,youth_organizations,2499 Robb Dr,+17754530416,http://www.renoamerican.com/,,https://www.facebook.com/173086262788459,POINT (-119.8923814 39.5426677)
79625cde-81b9-4cf2-a10f-fa212b7413c4,Sommerset,amusement_park,,,,,https://www.facebook.com/239172623166819,POINT (-119.8916153 39.5405805)
3ae85093-de32-4635-904f-81002e9e430d,Eco Window Cleaning And Pressure Washing,window_washing,2475 Robb Dr Ste 1528,5305627882,"",,,POINT (-119.8913471 39.5403444)
a0e3e80f-e0cc-4429-bae8-b42f9570c176,Manzanita Gate Apartments,landmark_and_historical_building,2475 Robb Dr,+17753482400,http://livemanzanita.com/,,https://www.facebook.com/190859154343609,POINT (-119.8907263 39.5407286)
010ffe73-084b-44c4-a146-f94a67c89053,Chalk Creek Pathway,hiking_trail,Robb Drive,,,,https://www.facebook.com/332858597474998,POINT (-119.884543 39.538685)
