place_id,best_name,name_source,best_phone,phone_source,best_address,address_source,best_website,website_source,best_categories,categories_source,best_source
08f088557537354903c275dd5a290659,Scandic CH,meta,"[""+46264958400""]",meta,"[{""freeform"": ""Nygatan 45"", ""locality"": ""G\u00e4vle"", ""postcode"": ""803 11"", ""country"": ""SE""}]",meta,"[""http://www.scandichotels.com/ch""]",meta,"{""primary"": ""hotel"", ""alternate"": [""accommodation"", ""buffet_restaurant""]}",meta,meta
08f08996aa19640503998575bf5e624f,Työväen Akatemia,meta,"[""+358401763581""]",meta,"[{""freeform"": ""Vanha Turuntie 14"", ""locality"": ""Kauniainen"", ""postcode"": ""02700"", ""country"": ""FI""}]",meta,"[""http://www.akatemia.org/""]",meta,"{""primary"": ""Community and Government > Education > Primary and Secondary School > High School"", ""alternate"": []}",foursquare,meta
08f08ed358889889037e291e52eb62a5,Full Steam Tromso,meta,"[""+4792044930""]",meta,"[{""freeform"": ""S\u00f8ndre Tollbodgate 3"", ""locality"": ""Troms\u00f8"", ""postcode"": ""9008"", ""region"": ""54"", ""country"": ""NO""}]",meta,"[""http://www.fullsteam.no/""]",meta,"{""primary"": ""Dining and Drinking > Bar > Pub"", ""alternate"": [""Dining and Drinking > Restaurant > Seafood Restaurant"", ""Arts and Entertainment > Museum""]}",foursquare,meta
08f08f02c0755b89034609eac48d4092,Mecra Consult,foursquare,"[""+46910720720""]",meta,"[{""freeform"": ""Verkstadsv\u00e4gen 13"", ""locality"": ""Skellefte\u00e5"", ""postcode"": ""931 61"", ""country"": ""SE""}]",meta,"[""http://www.mecra.se/""]",meta,"{""primary"": ""pest_control_service"", ""alternate"": [""recreation_vehicle_repair"", ""metal_fabricator""]}",meta,meta
08f1126d332248ed03373d1c4f03052a,Hautaustoimisto Mononen Mikko Oy,foursquare,"[""+358968626200""]",meta,"[{""freeform"": ""Liisankatu 25"", ""locality"": ""Helsinki"", ""postcode"": ""00170"", ""region"": ""ES"", ""country"": ""FI""}]",meta,"[""https://hautaus-mononen.fi/""]",meta,"{""primary"": ""Business and Professional Services > Funeral Home"", ""alternate"": []}",foursquare,meta
08f1126d338cb585032ef99b66edb965,EuroPark P-Eliel,meta,"[""+358207907300""]",meta,"[{""freeform"": ""Asema-aukio 1"", ""locality"": ""Helsinki"", ""postcode"": ""00100"", ""country"": ""FI""}]",meta,"[""http://www.europark.fi/english/parking-halls/hki-eliel-eng""]",meta,"{""primary"": ""parking"", ""alternate"": [""topic_concert_venue"", ""social_service_organizations""]}",meta,meta
08f11aa78c7ad0e5034e75b4b7abd882,Коллегия адвокатов «ЭксЛедж» г. Москва,foursquare,"[""+74993942724""]",meta,"[{""freeform"": ""\u0443\u043b\u0438\u0446\u0430 \u0411\u043e\u043b\u044c\u0448\u0438\u0435 \u041a\u0430\u043c\u0435\u043d\u0449\u0438\u043a\u0438 2"", ""locality"": ""\u041c\u043e\u0441\u043a\u0432\u0430"", ""postcode"": ""115172"", ""country"": ""RU""}]",meta,"[""https://goo.gl/3Y9yAj""]",meta,"{""primary"": ""Business and Professional Services > Legal Service > Law Office"", ""alternate"": [""Business and Professional Services > Financial Service"", ""Business and Professional Services > Legal Service""]}",foursquare,meta
08f11aa7a1a188c003ef4bcf54a8e1a6,Детская городская клиническая больница 9 имени Сперанского Г.Н.,meta,"[""+74991868325""]",meta,"[{""freeform"": ""\u0428\u043c\u0438\u0442\u043e\u0432\u0441\u043a\u0438\u0439 \u043f\u0440\u043e\u0435\u0437\u0434 29 \u043a\u043e\u0440\u043f 7"", ""locality"": ""\u041c\u043e\u0441\u043a\u0432\u0430"", ""postcode"": ""123317"", ""country"": ""RU""}]",meta,"[""http://www.dgkb-9.ru/""]",meta,"{""primary"": ""health_and_medical"", ""alternate"": [""hospital"", ""pediatrician""]}",meta,meta
08f121ba1a6ed7b103673c4bbcf8bf73,Bannister GP Kia,microsoft,"[""7805395024""]",microsoft,"[{""freeform"": ""11806 99 Ave"", ""locality"": ""Grande Prairie"", ""postcode"": ""T8W 0C7"", ""region"": ""AB"", ""country"": ""CA""}]",microsoft,"[""http://www.bannistergpkia.ca/""]",microsoft,"{""primary"": ""auto_parts_and_supply_store"", ""alternate"": [""auto_body_shop"", ""automotive""]}",microsoft,microsoft
08f12ccd550310a30379d144bdd1f4aa,Alberta Gymnastics Federation,meta,"[""+14032595500""]",meta,"[{""freeform"": ""550 71 Ave SE"", ""locality"": ""Calgary"", ""postcode"": ""T2H 0S6"", ""region"": ""AB"", ""country"": ""CA""}]",meta,"[""http://www.abgym.ab.ca/""]",meta,"{""primary"": ""community_services_non_profits"", ""alternate"": [""gymnastics_center"", ""active_life""]}",meta,meta
