place_id,source,name,phone,addr,street,city,state,postal,country,categories,website,socials
a9f75d54-eca0-4c52-8119-58578fdc427a,omf_stlouis_full.csv,fw logistics,6184828718.0,111 winnebago st,111 winnebago st,,,,,"[""self_storage_facility""]","[""https://fwlogistics.com/""]",[]
e79d13ea-6cf4-4bfd-a94d-f29195a8e3a8,omf_stlouis_full.csv,national committee for ex offenders equality,3149633200.0,5010 terry ave,5010 terry ave,,,,,"[""social_service_organizations""]","[""http://www.cfeoe.org/""]","[""https://www.facebook.com/110407907475056""]"
d1dee61c-77a5-4f61-8805-d43e5bc896b0,omf_pittsburgh_full.csv,western union,4125612329.0,1101 brookline blvd,1101 brookline blvd,,,,,"[""money_transfer_services""]","[""https://www.westernunion.com/?utm_source=bingmaps&utm_medium=pml-yext""]",[]
07a9fbe4-e846-4424-b8ad-26e654e97862,omf_tampa_full.csv,avard law offices,7278952217.0,550 n reo st,550 n reo st,,,,,"[""personal_injury_law""]","[""https://avardlaw.com/""]","[""https://www.facebook.com/108481990565135""]"
a977122f-7f1e-4de9-93b5-d10d3005d5db,omf_pittsburgh_full.csv,pair networks,4123817247.0,2403 sidney st,2403 sidney st,,,,,"[""web_designer""]","[""https://linktr.ee/pairnetworks""]","[""https://www.facebook.com/146927082050317""]"
4235496c-ac33-4333-b9dd-f8ddf7995070,omf_philadelphia_full.csv,style and grace by ciara,2157528030.0,150 east street road suite 5b,150 east street road suite 5b,,,,,"[""beauty_salon""]","[""https://styleandgracebyc.glossgenius.com/""]","[""https://www.facebook.com/1253547528007528""]"
81fc19d4-27cd-4ee6-b13b-07976f884ccc,omf_edmonton_full.csv,shan shan bakery,7809747788.0,10552 97 st nw,10552 97 st nw,,,,,"[""bakery""]",[],"[""https://www.facebook.com/610679305687226""]"
a6450c73-a13c-4990-8002-8fe326a925d1,omf_indianapolis_full.csv,guyer leonard d md,3175809355.0,836 e 86th st,836 e 86th st,,,,,"[""doctor""]","[""http://www.theguyerinstitute.com/""]","[""https://www.facebook.com/309219885828598""]"
eef4943d-2e78-4cd4-bdc5-460c39a745d6,omf_philadelphia_full.csv,masjid al mu id,2158492325.0,243 w chelten ave,243 w chelten ave,,,,,"[""religious_organization""]",[],"[""https://www.facebook.com/101028494667299""]"
d225f02a-aff9-463b-bb93-8fa98d39ea3a,omf_philadelphia_full.csv,cricket wireless,6102718253.0,3000 island ave,3000 island ave,,,,,"[""mobile_phone_store""]","[""http://www.mycricket.com/cell-phone-plans/?cm_mmc=blocal-_-local-_-na-_-263&utm_source=blocal&utm_medium=local&utm_campaign=263""]",[]
