place_id,yelp_business_id,yelp_name,yelp_address,yelp_phone,yelp_categories,match_score,foursquare_name,foursquare_address,foursquare_phone,foursquare_categories,foursquare_website,foursquare_socials,meta_name,meta_address,meta_phone,meta_categories,meta_website,meta_socials,microsoft_name,microsoft_address,microsoft_phone,microsoft_categories,microsoft_website,microsoft_socials,truth_name_source,truth_name,truth_phone_source,truth_phone,truth_website_source,truth_website,truth_address_source,truth_address,truth_categories_source,truth_categories,best_source
08f264d05c8b28f403c4d0ca478b590e,NwLp9XpVTP7epVzqANwEMQ,the barn at sycamore farms,4866 murfreesboro rd arrington tn 37014,,event planning services venues event spaces,97.89156627,,,,,,,the barn at sycamore farms,4866 murfreesboro rd arrington tn 37014 9167,6153958266,"{""primary"": ""event_planning"", ""alternate"": [""topic_concert_venue""]}","[""http://www.sycamorefarmsevents.com/""]","[""https://www.facebook.com/820650634699704""]",the barn at sycamore farms,4866 murfreesboro rd arrington tn 37014,6153958266,"{""primary"": ""venue_and_event_space"", ""alternate"": [""theaters_and_performance_venues"", ""arts_and_entertainment""]}","[""http://www.sycamorefarmsevents.com/""]",[],meta or microsoft,the barn at sycamore farms,meta or microsoft,6153958266,meta or microsoft,"[""http://www.sycamorefarmsevents.com/""]",meta,4866 murfreesboro rd arrington tn 37014 9167,meta,"{""primary"": ""event_planning"", ""alternate"": [""topic_concert_venue""]}",meta
08f264d10ba2b3b603ed82ff0fa1352d,igLY1nGlOG6llNBJHRDROg,k s world market,4225 nolensville pike nashville tn 37211,,specialty food international grocery grocery imported food ethnic food food seafood markets,97.94117647,k s world market,4225 nolensville pike nashville tn 37211,6158328881,"{""primary"": ""Retail > Food and Beverage Retail > Grocery Store"", ""alternate"": [""Dining and Drinking > Restaurant""]}",[null],"[null, null, null]",k s world market,4225 nolensville pike nashville tn 37211 4716,6158328881,"{""primary"": ""grocery_store"", ""alternate"": [""supermarket"", ""convenience_store""]}","[""http://www.worldmarket.com""]","[""https://www.facebook.com/104814455610797""]",,,,,,,foursquare or meta,k s world market,foursquare or meta,6158328881,meta,"[""http://www.worldmarket.com""]",meta,4225 nolensville pike nashville tn 37211 4716,foursquare,"{""primary"": ""Retail > Food and Beverage Retail > Grocery Store"", ""alternate"": [""Dining and Drinking > Restaurant""]}",meta
08f264d133962a4d03f03f3066a92a36,k35FTWJZoaZWZw9DTMKceg,downtown nashville nissan,25 vantage way nashville tn 37228,,car dealers auto parts supplies auto repair automotive,97.53521127,,,,,,,downtown nashville nissan,25 vantage way nashville tn 37228 1503,6152485100,"{""primary"": ""automotive_dealer"", ""alternate"": [""car_dealer"", ""automotive_repair""]}","[""www.downtownnashvillenissan.com""]","[""https://www.facebook.com/278571605890130""]",downtown nashville nissan,25 vantage way nashville tn 37228,6157634518,"{""primary"": ""used_car_dealer"", ""alternate"": [""automotive""]}","[""https://www.downtownnashvillenissan.com/?utm_source=yext&utm_medium=referral&utm_campaign=local-citations""]",[],meta or microsoft,downtown nashville nissan,meta or microsoft,6157634518,meta,"[""www.downtownnashvillenissan.com""]",meta or microsoft,25 vantage way nashville tn 37228 1503,meta,"{""primary"": ""automotive_dealer"", ""alternate"": [""car_dealer"", ""automotive_repair""]}",meta
08f264d18e140a5a03e2f002fdeafb07,k7gkfINqs05cbOmAaxYJPg,dixon center for integrative health care,211 old hickory blvd nashville tn 37221,,health medical acupuncture weight loss centers massage beauty spas chiropractors urgent care,90.48650297,,,,,,,dixon center for integrative healthcare,211 old hickory blvd nashville tn 37221 1301,6156461003,"{""primary"": ""chiropractor"", ""alternate"": [""medical_center"", ""hospital""]}","[""http://www.dixoncenter.com""]","[""https://www.facebook.com/155262735920""]",dixon center for integrative healthcare,211 old hickory blvd nashville tn 37221 1301,6156461003,"{""primary"": ""chiropractor"", ""alternate"": [""medical_center"", ""hospital""]}","[""http://www.dixoncenter.com""]","[""https://www.facebook.com/155262735920""]",meta or microsoft,dixon center for integrative healthcare,meta or microsoft,6156461003,meta or microsoft,"[""http://www.dixoncenter.com""]",meta or microsoft,211 old hickory blvd nashville tn 37221 1301,meta or microsoft,"{""primary"": ""chiropractor"", ""alternate"": [""medical_center"", ""hospital""]}",meta
08f264d8dc6c13b603bcc88818af0555,wuv3jE5Lc23TcfC70qu-Mg,subway,3686 bell rd nashville tn 37214,,restaurants pizza sandwiches fast food,97.3880597,subway,nashville tn 37214,,"{""primary"": ""Dining and Drinking > Restaurant > Sandwich Spot"", ""alternate"": [""Dining and Drinking > Restaurant > Fast Food Restaurant""]}","[""http://subway.com""]","[""https://www.twitter.com/subway"", null, null]",subway,3686 bell rd nashville tn 37214 2632,6158734517,"{""primary"": ""sandwich_shop"", ""alternate"": [""restaurant"", ""fast_food_restaurant""]}","[""http://www.subway.com/en-us""]","[""https://www.facebook.com/136584539754259""]",subway,3686 bell rd nashville tn 37214 2632,6158734517,"{""primary"": ""sandwich_shop"", ""alternate"": [""restaurant"", ""fast_food_restaurant""]}","[""http://www.subway.com/en-us""]","[""https://www.facebook.com/136584539754259""]",foursquare or meta or microsoft,subway,meta or microsoft,6158734517,foursquare,"[""http://subway.com""]",meta or microsoft,3686 bell rd nashville tn 37214 2632,foursquare,"{""primary"": ""Dining and Drinking > Restaurant > Sandwich Spot"", ""alternate"": [""Dining and Drinking > Restaurant > Fast Food Restaurant""]}",meta or microsoft
08f2661858d5b60e03221c6e69eb8a5f,eFQ1P8W-xA8HFZgsyaxQVg,qdoba mexican eats,6196 whitestown pkwy whitestown in 46075,,mexican restaurants fast food,100,,,,,,,,,,,,,qdoba mexican eats,6196 whitestown pkwy whitestown in 46075,3177692167,"{""primary"": ""fast_food_restaurant"", ""alternate"": [""mexican_restaurant"", ""restaurant""]}","[""https://locations.qdoba.com/us/in/whitestown/6196-whitestown-pkwy.html?utm_source=Listings""]",[],microsoft,qdoba mexican eats,microsoft,3177692167,microsoft,"[""https://locations.qdoba.com/us/in/whitestown/6196-whitestown-pkwy.html?utm_source=Listings""]",microsoft,6196 whitestown pkwy whitestown in 46075,microsoft,"{""primary"": ""fast_food_restaurant"", ""alternate"": [""mexican_restaurant"", ""restaurant""]}",microsoft
08f2661b2228b3990350416b04e58e61,buK9hg-3CS7Ry7axXEFFOQ,hollyhock hill,8110 n college ave indianapolis in 46240,,party event planning caterers american new event planning services venues event spaces food southern american traditional comfort food restaurants chicken wings chicken shop tea rooms nightlife bars,97.94117647,,,,,,,hollyhock hill,8110 n college ave indianapolis in 46240 2554,3172512294,"{""primary"": ""chicken_restaurant"", ""alternate"": [""american_restaurant"", ""southern_restaurant""]}","[""http://www.hollyhockhill.com/""]","[""https://www.facebook.com/142551169910""]",hollyhock hill restaurant,8110 n college ave indianapolis in 46240,3172512294,"{""primary"": ""chicken_restaurant"", ""alternate"": [""restaurant""]}","[""http://www.hollyhockhill.com/""]",[],meta,hollyhock hill,meta or microsoft,3172512294,meta or microsoft,"[""http://www.hollyhockhill.com/""]",meta,8110 n college ave indianapolis in 46240 2554,meta,"{""primary"": ""chicken_restaurant"", ""alternate"": [""american_restaurant"", ""southern_restaurant""]}",meta
08f2661b3146010a034c780796f6e9cd,aTqTvqLxJeIhM99-VAc0_A,the ups store,1389 w 86th st indianapolis in 46260,,notaries shipping centers local services printing services mailbox centers,87.24340176,the ups store,1389 w 86th st indianapolis in 46260,3172575660,"{""primary"": ""Business and Professional Services > Shipping, Freight, and Material Transportation Service"", ""alternate"": [""Retail > Print Store""]}","[""https://locations.theupsstore.com/in/indianapolis/1389-w-86th-st""]","[""https://www.twitter.com/theupsstore"", ""https://www.facebook.com/348189538651531"", null]",the ups store 6285,1389 w 86th st indianapolis in 46260 2101,3172575660,"{""primary"": ""freight_and_cargo_service"", ""alternate"": [""printing_services"", ""packing_supply""]}","[""https://locations.theupsstore.com/in/indianapolis/1389-w-86th-st?utm_source=Yext&utm_medium=organic&utm_campaign=Listings""]","[""https://www.facebook.com/348189538651531""]",,,,,,,foursquare,the ups store,foursquare or meta,3172575660,foursquare,"[""https://locations.theupsstore.com/in/indianapolis/1389-w-86th-st""]",meta,1389 w 86th st indianapolis in 46260 2101,meta,"{""primary"": ""freight_and_cargo_service"", ""alternate"": [""printing_services"", ""packing_supply""]}",forsquare
08f28843861189b103816480f8f6f6e2,nd0qqaDC8H6hRhOV-fadHQ,penske truck rental,4450 enterprise st boise id 83705,,automotive truck rental,98.97058824,,,,,,,,,,,,,penske truck rental,4450 s enterprise st boise id 83705,2083367220,"{""primary"": ""rental_services"", ""alternate"": [""truck_rentals"", ""real_estate_service"", ""automotive""]}","[""https://www.pensketruckrental.com/locations/us/idaho/boise/066110/""]",[],microsoft,penske truck rental,microsoft,2083367220,microsoft,"[""https://www.pensketruckrental.com/locations/us/idaho/boise/066110/""]",microsoft,4450 s enterprise st boise id 83705,microsoft,"{""primary"": ""rental_services"", ""alternate"": [""truck_rentals"", ""real_estate_service"", ""automotive""]}",microsoft
08f29126484e986d033383dfda3c9539,j8paEZYmMxgeeY91hwL_Vw,california electric supply,233 s milpas st santa barbara ca 93103,,lighting fixtures equipment electronics electricians wholesale stores home services shopping,97.83950617,,,,,,,california electric supply,233 s milpas st santa barbara ca 93103 3607,8059629114,"{""primary"": ""electrician"", ""alternate"": [""construction_services""]}","[""http://www.cessb.com/""]","[""https://www.facebook.com/118484558183407""]",california electric supply,233 south milpas street santa barbara ca 93103,8059629114,"{""primary"": ""electrical_supply_store"", ""alternate"": [""electrician"", ""lighting_fixtures_and_equipment"", ""retail""]}","[""http://www.cessb.com/""]",[],meta or microsoft,california electric supply,meta or microsoft,8059629114,meta or microsoft,"[""http://www.cessb.com/""]",meta,233 s milpas st santa barbara ca 93103 3607,microsoft,"{""primary"": ""electrical_supply_store"", ""alternate"": [""electrician"", ""lighting_fixtures_and_equipment"", ""retail""]}",meta
