place_id,yelp_business_id,yelp_name,yelp_address,yelp_phone,yelp_categories,match_score,foursquare_name,foursquare_address,foursquare_phone,foursquare_categories,foursquare_website,foursquare_socials,meta_name,meta_address,meta_phone,meta_categories,meta_website,meta_socials,microsoft_name,microsoft_address,microsoft_phone,microsoft_categories,microsoft_website,microsoft_socials,truth_name_source,truth_name,truth_phone_source,truth_phone,truth_website_source,truth_website,truth_address_source,truth_address,truth_categories_source,truth_categories,best_source
08f264626394cd4b030ac3f573c76061,ilpkcVFnMcRZJSxVZT4_Eg,bank of america financial center,10263 clayton rd saint louis mo 63124,,financial services home services mortgage brokers banks credit unions real estate,79.03637222484647,bank of america atm center,6646 clayton rd saint louis mo 63117,8004321000.0,"{""primary"": ""Retail > Miscellaneous Store"", ""alternate"": []}","[""http://www.bankofamerica.com""]","[null, null, null]",,,,,,,,,,,,,,,,,,,,,,,
08f264d05c8b28f403c4d0ca478b590e,NwLp9XpVTP7epVzqANwEMQ,the barn at sycamore farms,4866 murfreesboro rd arrington tn 37014,,event planning services venues event spaces,97.89156626506023,,,,,,,the barn at sycamore farms,4866 murfreesboro rd arrington tn 37014 9167,6153958266.0,"{""primary"": ""event_planning"", ""alternate"": [""topic_concert_venue""]}","[""http://www.sycamorefarmsevents.com/""]","[""https://www.facebook.com/820650634699704""]",the barn at sycamore farms,4866 murfreesboro rd arrington tn 37014,6153958266.0,"{""primary"": ""venue_and_event_space"", ""alternate"": [""theaters_and_performance_venues"", ""arts_and_entertainment""]}","[""http://www.sycamorefarmsevents.com/""]",[],,,,,,,,,,,
08f264d10ba2b3b603ed82ff0fa1352d,igLY1nGlOG6llNBJHRDROg,k s world market,4225 nolensville pike nashville tn 37211,,specialty food international grocery grocery imported food ethnic food food seafood markets,97.94117647058825,k s world market,4225 nolensville pike nashville tn 37211,6158328881.0,"{""primary"": ""Retail > Food and Beverage Retail > Grocery Store"", ""alternate"": [""Dining and Drinking > Restaurant""]}",[null],"[null, null, null]",k s world market,4225 nolensville pike nashville tn 37211 4716,6158328881.0,"{""primary"": ""grocery_store"", ""alternate"": [""supermarket"", ""convenience_store""]}","[""http://www.worldmarket.com""]","[""https://www.facebook.com/104814455610797""]",,,,,,,,,,,,,,,,,
08f264d133962a4d03f03f3066a92a36,k35FTWJZoaZWZw9DTMKceg,downtown nashville nissan,25 vantage way nashville tn 37228,,car dealers auto parts supplies auto repair automotive,97.53521126760565,,,,,,,downtown nashville nissan,25 vantage way nashville tn 37228 1503,6152485100.0,"{""primary"": ""automotive_dealer"", ""alternate"": [""car_dealer"", ""automotive_repair""]}","[""www.downtownnashvillenissan.com""]","[""https://www.facebook.com/278571605890130""]",downtown nashville nissan,25 vantage way nashville tn 37228,6157634518.0,"{""primary"": ""used_car_dealer"", ""alternate"": [""automotive""]}","[""https://www.downtownnashvillenissan.com/?utm_source=yext&utm_medium=referral&utm_campaign=local-citations""]",[],,,,,,,,,,,
08f264d18e140a5a03e2f002fdeafb07,k7gkfINqs05cbOmAaxYJPg,dixon center for integrative health care,211 old hickory blvd nashville tn 37221,,health medical acupuncture weight loss centers massage beauty spas chiropractors urgent care,90.486502973921,,,,,,,dixon center for integrative healthcare,211 old hickory blvd nashville tn 37221 1301,6156461003.0,"{""primary"": ""chiropractor"", ""alternate"": [""medical_center"", ""hospital""]}","[""http://www.dixoncenter.com""]","[""https://www.facebook.com/155262735920""]",dixon center for integrative healthcare,211 old hickory blvd nashville tn 37221 1301,6156461003.0,"{""primary"": ""chiropractor"", ""alternate"": [""medical_center"", ""hospital""]}","[""http://www.dixoncenter.com""]","[""https://www.facebook.com/155262735920""]",,,,,,,,,,,
08f264d1a16d89a6039e35b542dfb702,JMqYedMBFE64P9jeDaAeXQ,results physiotherapy nashville,4027 hillsboro pike ste 801 nashville tn 37215,,physical therapy health medical,77.44635798983626,results physiotherapy,6816 charlotte pike nashville tn 37209,6153560710.0,"{""primary"": ""Health and Medicine > Physical Therapy Clinic"", ""alternate"": []}",[null],"[null, null, null]",,,,,,,results physiotherapy nashville tennessee west,6816 charlotte pike ste 103 nashville tn 37209,6153560710.0,"{""primary"": ""physical_therapy"", ""alternate"": [""health_and_medical""]}","[""https://healthcare.ascension.org/locations/tennessee/tnnas/nashville-results-physiotherapy-nashville-tennessee-west""]",[],,,,,,,,,,,
08f264d8dc6c13b603bcc88818af0555,wuv3jE5Lc23TcfC70qu-Mg,subway,3686 bell rd nashville tn 37214,,restaurants pizza sandwiches fast food,97.38805970149254,subway,nashville tn 37214,,"{""primary"": ""Dining and Drinking > Restaurant > Sandwich Spot"", ""alternate"": [""Dining and Drinking > Restaurant > Fast Food Restaurant""]}","[""http://subway.com""]","[""https://www.twitter.com/subway"", null, null]",subway,3686 bell rd nashville tn 37214 2632,6158734517.0,"{""primary"": ""sandwich_shop"", ""alternate"": [""restaurant"", ""fast_food_restaurant""]}","[""http://www.subway.com/en-us""]","[""https://www.facebook.com/136584539754259""]",subway,3686 bell rd nashville tn 37214 2632,6158734517.0,"{""primary"": ""sandwich_shop"", ""alternate"": [""restaurant"", ""fast_food_restaurant""]}","[""http://www.subway.com/en-us""]","[""https://www.facebook.com/136584539754259""]",,,,,,,,,,,
08f2661858d5b60e03221c6e69eb8a5f,eFQ1P8W-xA8HFZgsyaxQVg,qdoba mexican eats,6196 whitestown pkwy whitestown in 46075,,mexican restaurants fast food,100.0,,,,,,,,,,,,,qdoba mexican eats,6196 whitestown pkwy whitestown in 46075,3177692167.0,"{""primary"": ""fast_food_restaurant"", ""alternate"": [""mexican_restaurant"", ""restaurant""]}","[""https://locations.qdoba.com/us/in/whitestown/6196-whitestown-pkwy.html?utm_source=Listings""]",[],,,,,,,,,,,
08f2661b21895b210306896855369f9a,dsEWTyoP2eZwRfczWAk_ug,jason s deli,4026 e 82nd st indianapolis in 46250,,delis caterers restaurants sandwiches salad event planning services,100.0,jason s deli,4130 e 82nd st indianapolis in 46250,3175780543.0,"{""primary"": ""Dining and Drinking > Restaurant > Deli"", ""alternate"": [""Dining and Drinking > Restaurant > Sandwich Spot""]}","[""http://www.jasonsdeli.com""]","[""https://www.twitter.com/jasonsdeli"", null, null]",,,,,,,jason s deli,4026 e 82nd st indianapolis in 46250,2078747483.0,"{""primary"": ""sandwich_shop"", ""alternate"": [""delicatessen"", ""restaurant""]}","[""https://www.jasonsdeli.com/restaurants/keystone-deli""]",[],,,,,,,,,,,
08f2661b2228b3990350416b04e58e61,buK9hg-3CS7Ry7axXEFFOQ,hollyhock hill,8110 n college ave indianapolis in 46240,,party event planning caterers american new event planning services venues event spaces food southern american traditional comfort food restaurants chicken wings chicken shop tea rooms nightlife bars,97.94117647058825,,,,,,,hollyhock hill,8110 n college ave indianapolis in 46240 2554,3172512294.0,"{""primary"": ""chicken_restaurant"", ""alternate"": [""american_restaurant"", ""southern_restaurant""]}","[""http://www.hollyhockhill.com/""]","[""https://www.facebook.com/142551169910""]",hollyhock hill restaurant,8110 n college ave indianapolis in 46240,3172512294.0,"{""primary"": ""chicken_restaurant"", ""alternate"": [""restaurant""]}","[""http://www.hollyhockhill.com/""]",[],,,,,,,,,,,
08f2661b3146010a034c780796f6e9cd,aTqTvqLxJeIhM99-VAc0_A,the ups store,1389 w 86th st indianapolis in 46260,,notaries shipping centers local services printing services mailbox centers,87.2434017595308,the ups store,1389 w 86th st indianapolis in 46260,3172575660.0,"{""primary"": ""Business and Professional Services > Shipping, Freight, and Material Transportation Service"", ""alternate"": [""Retail > Print Store""]}","[""https://locations.theupsstore.com/in/indianapolis/1389-w-86th-st""]","[""https://www.twitter.com/theupsstore"", ""https://www.facebook.com/348189538651531"", null]",the ups store 6285,1389 w 86th st indianapolis in 46260 2101,3172575660.0,"{""primary"": ""freight_and_cargo_service"", ""alternate"": [""printing_services"", ""packing_supply""]}","[""https://locations.theupsstore.com/in/indianapolis/1389-w-86th-st?utm_source=Yext&utm_medium=organic&utm_campaign=Listings""]","[""https://www.facebook.com/348189538651531""]",,,,,,,,,,,,,,,,,
08f26838cd84ed8b03ceaa62d4a92b5e,vLdELbSYtwKVpkl4ownLEA,subway,182 e state st eagle id 83616,,sandwiches fast food restaurants,81.33333333333333,,,,,,,subway,131 chambers ave eagle co 81631,9703280484.0,"{""primary"": ""sandwich_shop"", ""alternate"": [""restaurant"", ""fast_food_restaurant""]}","[""http://www.subway.com/en-us""]","[""https://www.facebook.com/209438179185245""]",subway,131 chambers ave eagle co 81631,9703280484.0,"{""primary"": ""fast_food_restaurant"", ""alternate"": [""sandwich_shop"", ""restaurant""]}","[""https://restaurants.subway.com/united-states/co/eagle/131-chambers-ave?utm_source=yxt-bing&utm_medium=local&utm_term=acq&utm_content=14655&utm_campaign=evergreen-2020&y_source=1_MTQ5MTY1NDAtNDgzLWxvY2F0aW9uLndlYnNpdGU%3D""]",[],,,,,,,,,,,
08f28843861189b103816480f8f6f6e2,nd0qqaDC8H6hRhOV-fadHQ,penske truck rental,4450 enterprise st boise id 83705,,automotive truck rental,98.97058823529412,,,,,,,,,,,,,penske truck rental,4450 s enterprise st boise id 83705,2083367220.0,"{""primary"": ""rental_services"", ""alternate"": [""truck_rentals"", ""real_estate_service"", ""automotive""]}","[""https://www.pensketruckrental.com/locations/us/idaho/boise/066110/""]",[],,,,,,,,,,,
08f29126484e986d033383dfda3c9539,j8paEZYmMxgeeY91hwL_Vw,california electric supply,233 s milpas st santa barbara ca 93103,,lighting fixtures equipment electronics electricians wholesale stores home services shopping,97.83950617283948,,,,,,,california electric supply,233 s milpas st santa barbara ca 93103 3607,8059629114.0,"{""primary"": ""electrician"", ""alternate"": [""construction_services""]}","[""http://www.cessb.com/""]","[""https://www.facebook.com/118484558183407""]",california electric supply,233 south milpas street santa barbara ca 93103,8059629114.0,"{""primary"": ""electrical_supply_store"", ""alternate"": [""electrician"", ""lighting_fixtures_and_equipment"", ""retail""]}","[""http://www.cessb.com/""]",[],,,,,,,,,,,
08f298901d34a6ac033a02d493f36726,oKMzFzSbKcsop30JdGw-Cg,five star premier residences of reno,3201 plumas street reno nv 89509,,health medical apartments home services real estate rehabilitation center home health care retirement homes,95.15384615384616,,,,,,,five star premier residences of reno,3201 plumas st reno nv 89509 4723,7758291050.0,"{""primary"": ""retirement_home"", ""alternate"": [""senior_citizen_services""]}","[""https://www.fivestarseniorliving.com/communities/nv/reno/five-star-premier-residences-of-reno/?local=facebook""]","[""https://www.facebook.com/211667562292303""]",five star premier residences of reno,3201 plumas st reno nv 89509,7758291050.0,"{""primary"": ""assisted_living_facility"", ""alternate"": [""health_and_medical""]}","[""https://www.fivestarseniorliving.com/communities/nv/reno/five-star-premier-residences-of-reno""]",[],,,,,,,,,,,
